Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
,,,,,,,,,,,,,,,,,,,,,,
175,FOOD PROCESSING,NORTHERN,LIRA,IPITO AWENO,English,Manager,,50+,Male,Ugandan,Activities of head offices; management consultancy activities,,20,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
176,EDUCATION & HEALTH,NORTHERN,LIRA,TE - OBIA,English,Owner,,35-50,Male,Ugandan,Human health activities,Wholesale and retail trade and repair of motor vehicles and motorcycles,13,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,10000000
178,OTHER MANUFACTURING,NORTHERN,LIRA,BLUE CORNER,English,Manager,,35-50,Male,Indian,"Crop and animal production, hunting and related service activities",,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,10000000
179,AGRICULTURE,WESTERN,MBARARA,RWAMUHIIGI,English,Owner,,50+,Male,Ugandan,Warehousing and support activities for transportation,,28,Single owner/sole proprietorship,,Farm,,No,Yes,0,0,1200000
180,FINANCIAL,WESTERN,BUSHENYI,WARD III,English,Owner,,35-50,Male,Ugandan,Information service activities,"Retail trade, except of motor vehicles and motorcycles",7,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,8000000
181,AGRICULTURE,CENTRAL,LUWERO,KATIKAMU,Luganda,Owner,,50+,Male,Ugandan,Human health activities,,20,Single owner/sole proprietorship,,Home,,No,No,0,0,400000
186,FOOD PROCESSING,EASTERN,MBALE,NAUYO,English,Owner,,25-34,Male,Ugandan,Manufacture of wearing apparel,,8,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
187,FINANCIAL,CENTRAL,MPIGI,TIRIBOGO,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,14,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,45000000
188,FINANCIAL,WESTERN,MBARARA,RUTOOMA,English,Owner,,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,410000
189,INFORMATION & COMMUNICATION,WESTERN,MBARARA,RUTTI,English,Owner,,25-34,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,250000
190,AGRICULTURE,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,35-50,Male,Ugandan,"Computer programming, consultancy and related activities",,8,Single owner/sole proprietorship,,Farm,,No,No,0,0,1500000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
194,TRADING,EASTERN,MBALE,NAUYO,English,Owner,,50+,Male,Ugandan,Education,,33,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,2800000
195,OTHER MANUFACTURING,CENTRAL,KIBOGA,LWAMATA,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,Home,,Yes,Yes,1,0,700000
196,FINANCIAL,NORTHERN,NEBBI,PARWO,English,Manager,,35-50,Male,Ugandan,"Financial service activities, except insurance and pension funding",,4,Co-operative,,Home,,Yes,Yes,0,0,450000
198,ACCOMODATION,CENTRAL,KIBOGA,KATEERA,English,Manager,,35-50,Female,Ugandan,Rental and leasing activities,Accommodation,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,1,1,1500000
,,,,,,,,,,,,,,,,,,,,,,
200,FISHING,CENTRAL,MASAKA,NYENDO,English,Owner,,50+,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,20,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,8000000
201,AGRICULTURE,CENTRAL,LUWERO,KATIKAMU,Luganda,Owner,,35-50,Male,Ugandan,Food and beverage service activities,,8,Single owner/sole proprietorship,,Farm,,No,No,0,0,400000
202,TRADING,KAMPALA,KAMPALA,CIVIC CENTRE,English,Owner,,35-50,Male,Ugandan,Rental and leasing activities,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1500000
,,,,,,,,,,,,,,,,,,,,,,
205,AGRICULTURE,CENTRAL,MUKONO,NSUUBE - KAUGA,English,Manager,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,9,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,5000000
207,AGRICULTURE,CENTRAL,LUWERO,KATIKAMU,Luganda,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,13,Single owner/sole proprietorship,,Home,,No,No,0,0,5000000
208,FOOD PROCESSING,EASTERN,JINJA,KAKIRA,Luganda,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,22,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
209,TRADING,CENTRAL,MPIGI,BUKASA/KAYABWE,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,12000000
,,,,,,,,,,,,,,,,,,,,,,
211,AGRICULTURE,WESTERN,MBARARA,RUTOOMA,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,Farm,,No,No,0,0,600000
,,,,,,,,,,,,,,,,,,,,,,
213,EDUCATION & HEALTH,CENTRAL,WAKISO,NABBINGO,English,Owner,,35-50,Female,Ugandan,Human health activities,,16,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,820000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
217,AGRICULTURE,WESTERN,MBARARA,RUHARO,English,Owner,,50+,Male,Ugandan,Food and beverage service activities,,30,Single owner/sole proprietorship,,Farm,,No,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,EDUCATION & HEALTH,CENTRAL,WAKISO,NABBINGO,English,Owner,,50+,Male,Ugandan,Education,,16,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2157000
221,AGRICULTURE,CENTRAL,LUWERO,KATIKAMU,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Farm,,No,No,0,0,170000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
225,AGRICULTURE,CENTRAL,MASAKA,NYENDO,Luganda,Owner,,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,20,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,Yes,Yes,0,0,2500000
,,,,,,,,,,,,,,,,,,,,,,
227,FOOD PROCESSING,CENTRAL,MASAKA,NYENDO,English,Manager,,35-50,Male,Ugandan,Food and beverage service activities,,6,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,4500000
228,RECREATION & PERSONAL,CENTRAL,LWENGO,CENTRAL WARD,English,Owner,,35-50,Male,Ugandan,"Creative, arts and entertainment activities",,12,Single owner/sole proprietorship,,Home,,No,No,0,0,300000
230,RECREATION & PERSONAL,CENTRAL,LWENGO,KYAWAGONYA,English,Owner,,25-34,Male,Ugandan,Accommodation,,3,Single owner/sole proprietorship,,Home,,No,No,0,0,300000
231,RECREATION & PERSONAL,CENTRAL,LWENGO,KIWANGALA,English,Manager,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,7,Single owner/sole proprietorship,,Home,,No,No,0,0,3000000
233,TRADING,CENTRAL,LWENGO,CENTRAL WARD,English,Manager,,50+,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,3,Single owner/sole proprietorship,,Home,,No,No,0,0,1000000
